0,1,idQ,idA
What causes the body to shiver in cold temperatures ?,Please provide some description .,134,4
What was the filling in the first golf balls ?,Please provide some description .,557,4
What are some chemical properties of mendelevium ?,Please provide some description .,2321,4
Why are so many umbrellas black ?,Please provide some description .,1636,4
What caused the Titanic to sink ?,Please provide some description .,429,4
What does `` antidisestablishmentarianism '' mean ?,Please provide some description .,2333,4
What is a horologist ?,Please provide some description .,1011,4
How do you get silly putty out of fabric ?,Please provide some description .,1386,4
How can I get a CCT diagram ?,Please provide some description .,1375,4
How did Bob Marley die ?,Please provide some description .,2112,4
How do boats float ?,Please provide some description .,1232,4
How do I install a tile floor ?,Please provide some description .,53,4
What was the outcome of the 1945 Yalta Conference ?,Please provide some description .,987,4
Where did the term `` 69 '' come from ?,Please provide some description .,1323,4
What is the difference between a bachelor and a 1 bedroom apartment ?,Please provide some description .,1122,4
"What was the claim to fame of Explorer I , launched February 1 , 1958 ?",Please provide some description .,35,4
What is white chocolate ?,Please provide some description .,2051,4
What is the origin of the word `` Teddy bear '' ?,Please provide some description .,1667,4
How can I find online spelling ?,Please provide some description .,2557,4
What are Christopher Marlowe 's and Shakespeare 's literary contributions to English literature ?,Please provide some description .,229,4
How does psorisis disappear ?,Please provide some description .,1439,4
What is a First World country ?,Please provide some description .,2301,4
How do hermit crabs reproduce ?,Please provide some description .,1304,4
What does idle mean ?,Please provide some description .,2044,4
How can you prevent it ?,Please provide some description .,25,4
Why do magnets attract ?,Please provide some description .,14,4
What is chromatology ?,Please provide some description .,349,4
Why do people shake hands to show friendliness ?,Please provide some description .,2225,4
What are the Twin Cities ?,Please provide some description .,1864,4
What makes you fat ?,Please provide some description .,2518,4
How is plastic made ?,Please provide some description .,158,4
Why does cotton get caught in belly buttons ?,Please provide some description .,836,4
What did n't Rocky Marciano do in his pro boxing career ?,Please provide some description .,878,4
What does an emperor do ?,Please provide some description .,2502,4
What 's a short ton ?,Please provide some description .,1568,4
What 's the state motto of California ?,Please provide some description .,378,4
How does the car in `` Christine '' become possessed ?,Please provide some description .,1616,4
What is a storm surge ?,Please provide some description .,240,4
How do you determine heating requirements for your home ?,Please provide some description .,970,4
What does `` Janelle '' mean ?,Please provide some description .,2229,4
What are Maid-Rites ?,Please provide some description .,1085,4
How can I transport files from one computer to another ?,Please provide some description .,1526,4
How can you tell when figs are ripe ?,Please provide some description .,2212,4
What is measured in curies ?,Please provide some description .,666,4
Why do we call someone `` honey '' ?,Please provide some description .,1915,4
What is the chemiosmotic theory ?,Please provide some description .,2492,4
What is a neurosurgeon ?,Please provide some description .,152,4
What is Boston Kreme ?,Please provide some description .,1944,4
What does storm wave mean in Japanese ?,Please provide some description .,1763,4
What is the origin of the proverb `` A stitch in time saves nine '' ?,Please provide some description .,164,4
What was a Mae West on a World War II battleship ?,Please provide some description .,1141,4
How can someone become a federal agent ?,Please provide some description .,101,4
What is the history of the hairdryer ?,Please provide some description .,1544,4
What exactly is the purpose of the anteater ?,Please provide some description .,507,4
What are bear and bull markets ?,Please provide some description .,2310,4
What motto ended Merrie Melodies cartoons ?,Please provide some description .,614,4
How do you find out what is allowed to claim as a contibution for income tax purposes ?,Please provide some description .,308,4
What does N est-ce pas mean ?,Please provide some description .,1938,4
What does `` E Pluribus Unum '' on the penny mean ?,Please provide some description .,2354,4
What is osmosis ?,Please provide some description .,1537,4
How do companies cut paper so thin ?,Please provide some description .,88,4
What is a Jellicle Cat ?,Please provide some description .,1074,4
What was the reason for the partition of the Anglican and Vatican churches ?,Please provide some description .,2319,4
What are tannins ?,Please provide some description .,1543,4
How can I find out what year a Beanie Baby was introduced ?,Please provide some description .,1452,4
Why do recipe books recommend starting with cold water when you boil something ?,Please provide some description .,1929,4
How successful is arometherapy ?,Please provide some description .,479,4
What are the benefits of home school ?,Please provide some description .,1726,4
How did Rocky Marciano die ?,Please provide some description .,827,4
How do you ask questions ?,Please provide some description .,2361,4
How does a hurricane form ?,Please provide some description .,2432,4
How do you address a Chinese person ?,Please provide some description .,386,4
What happened to Moon Maiden ?,Please provide some description .,525,4
Why do men snore ?,Please provide some description .,175,4
How do I stop background noise in a car stereo ?,Please provide some description .,1545,4
What revelation did Alexander Butterfield make to the Senate Watergate committee ?,Please provide some description .,2078,4
What 's the meaning of UOL ?,Please provide some description .,37,4
Why do roosters sing at five o 'clock in the morning ?,Please provide some description .,1270,4
What are amphibians ?,Please provide some description .,1120,4
What is ` Last Chance for Animals ' ?,Please provide some description .,1179,4
What is the largest variety of cactus ?,Please provide some description .,2107,4
What is the definition of the Scrabble word ` syzygy ' ?,Please provide some description .,699,4
What is a philanthropist ?,Please provide some description .,1534,4
What did Lenny Bruce say that got him arrested ?,Please provide some description .,975,4
What is a Mexican hairless ?,Please provide some description .,1837,4
What caused the division between the Anglicans and the Vatican ?,Please provide some description .,2516,4
What did Mighty Mouse always sing as he went into action ?,Please provide some description .,1513,4
Shea and Gould closed their Los Angeles office for what reason ?,Please provide some description .,184,4
What is a stratocaster ?,Please provide some description .,1844,4
What are chloroplasts ?,Please provide some description .,1798,4
What does the Latin ante mortem mean ?,Please provide some description .,1401,4
What does appropriates money mean ?,Please provide some description .,1676,4
What exactly is radiation ?,Please provide some description .,504,4
Where did the term `` 86 '' come from ?,Please provide some description .,1573,4
How do you find oxidation numbers ?,Please provide some description .,947,4
What is a meerkat ?,Please provide some description .,2460,4
Where do chihuahuas come from ?,Please provide some description .,221,4
What does the name `` Sheri '' mean ?,Please provide some description .,2559,4
Why can 't women serve in the Navy on board submarines ?,Please provide some description .,1016,4
How do you clean badly tarnished brass ?,Please provide some description .,2139,4
What is cosmology ?,Please provide some description .,2443,4
What is the difference between a median and a mean ?,Please provide some description .,355,4
What is the history of skateboarding ?,Please provide some description .,962,4
How did former WWF wrestler Rick Rude die ?,Please provide some description .,2249,4
How can you get rust stains out of clothing ?,Please provide some description .,185,4
What is the C programming language ?,Please provide some description .,2060,4
What is a pig in a poke ?,Please provide some description .,1908,4
How did names come about ?,Please provide some description .,1900,4
What are the distinct physical characterstics of the Arabian horse ?,Please provide some description .,1637,4
What is June 's birthstone ?,Please provide some description .,51,4
What is the difference between college and graduate school ?,Please provide some description .,1687,4
"What do the number 1 , 2 , and 4 mean on Dr. Pepper bottles ?",Please provide some description .,1161,4
What is fiber in food ?,Please provide some description .,1872,4
How do I register a trade name in North Carolina ?,Please provide some description .,937,4
What is idealab ! ?,Please provide some description .,890,4
What is limbo ?,Please provide some description .,2422,4
What causes headaches ?,Please provide some description .,1827,4
What is a rhomboideus minor ?,Please provide some description .,965,4
What have you not let a tennis ball do if you volley ?,Please provide some description .,2374,4
What 's the Red Planet ?,Please provide some description .,2174,4
How does the Elongated Man know a mystery is afoot ?,Please provide some description .,619,4
What is hypnotherapy ?,Please provide some description .,788,4
What is viscosity ?,Please provide some description .,617,4
How does lightning travel ?,Please provide some description .,1457,4
How does a scientific calculator work ?,Please provide some description .,1195,4
What is meant by `` capital market '' ?,Please provide some description .,325,4
Why did the Shea & Gould law firm leave Los Angeles ?,Please provide some description .,671,4
What 's the rathaus in Frankfurt ?,Please provide some description .,235,4
How do you stop junk snail mail ?,Please provide some description .,2320,4
What is the function of RAM ?,Please provide some description .,1454,4
Why do eyes sometimes look red in photographs ?,Please provide some description .,1707,4
What caused Shea & Gould to close their L.A. office ?,Please provide some description .,2247,4
How did Edith Bunker die ?,Please provide some description .,1053,4
What 's the Olympic motto ?,Please provide some description .,694,4
What characteristics contribute to its `` intelligence '' ?,Please provide some description .,2172,4
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,Please provide some description .,1123,4
What effects do nitrates have on the environment ?,Please provide some description .,138,4
What is Cabarnet Sauvignon ?,Please provide some description .,1547,4
What is the Immaculate Conception ?,Please provide some description .,143,4
How do you get rid on woodpeckers ?,Please provide some description .,1995,4
What does a nihilist believe in ?,Please provide some description .,1852,4
What is tumbled marble ?,Please provide some description .,1638,4
What are the seven deadly sins ?,Please provide some description .,1527,4
How does marijuana lead to other drugs ?,Please provide some description .,139,4
What is porphyria ?,Please provide some description .,454,4
What is a common dolphin ?,Please provide some description .,832,4
What is a urologist ?,Please provide some description .,1052,4
Why do airliners crash vs. gliding down ?,Please provide some description .,1680,4
What is the spectrum of a sine wave ?,Please provide some description .,1639,4
Why does a candle need a wick ?,Please provide some description .,1658,4
Describe the Finnish music personality Salonen 's appearance .,Please provide some description .,1589,4
What is the orgin of xoxoxox ?,Please provide some description .,1749,4
What is amezaiku ?,Please provide some description .,1650,4
How do telephones work ?,Please provide some description .,1382,4
How do vending machines tell if your dollar is a 1 or a 5 ?,Please provide some description .,2420,4
What does laser stand for ?,Please provide some description .,20,4
How does a bill become law ?,Please provide some description .,2547,4
How does blood clot ?,Please provide some description .,1801,4
How is thalassemia defined ?,Please provide some description .,320,4
What is a courier ?,Please provide some description .,1110,4
