0,1,idQ,idA
What was the food of the Greek gods called ?,Can I get some knowledge of food ?,2050,38
What beer is ` rockin ' America ? '',Can I get some knowledge of food ?,2100,38
What kind of fruit is a Yellow Transparent ?,Can I get some knowledge of food ?,1593,38
What drink contains as many types of rum as possible ?,Can I get some knowledge of food ?,1605,38
What 's the traditional drink at the Kentucky Derby ?,Can I get some knowledge of food ?,798,38
What cooking oil has `` corn goodness '' ?,Can I get some knowledge of food ?,1076,38
Which is heavier - cream or milk ?,Can I get some knowledge of food ?,71,38
What did brontosauruses eat ?,Can I get some knowledge of food ?,463,38
"Which is a real berry : blackberry , cranberry , raspberry , strawberry ?",Can I get some knowledge of food ?,2579,38
What is `` the great American family cereal '' ?,Can I get some knowledge of food ?,371,38
What condiment do the Dutch dip their French fries in ?,Can I get some knowledge of food ?,2149,38
What 's the most delicate-tasting member of the onion family ?,Can I get some knowledge of food ?,295,38
What soft drink would provide me with the biggest intake of caffeine ?,Can I get some knowledge of food ?,2084,38
"What will a kid eat the middle of , and save the chocolate on the outside for last ?",Can I get some knowledge of food ?,2352,38
What kind of meat is Fray Bentos synonymous with ?,Can I get some knowledge of food ?,2263,38
Madonna hocks which soft drink ?,Can I get some knowledge of food ?,2677,38
Name Li 'l Abner 's favorite Indian drink .,Can I get some knowledge of food ?,1647,38
What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?,Can I get some knowledge of food ?,1411,38
What do you get by mixing gin and vermouth ?,Can I get some knowledge of food ?,2671,38
What whisky is `` known by the company it keeps '' ?,Can I get some knowledge of food ?,1092,38
What line of candy products included Super Skrunch and Peanut Butter Oompas ?,Can I get some knowledge of food ?,974,38
"What beer tells us , `` Grab all the gusto you can get . '' ?",Can I get some knowledge of food ?,1170,38
What foods contain vitamin B12 ?,Can I get some knowledge of food ?,346,38
What 's the Southern dish made of pigs ' small intestines ?,Can I get some knowledge of food ?,1295,38
What soft drink tells us to `` Go Hawaiian '' ?,Can I get some knowledge of food ?,2261,38
What do flatfish eat ?,Can I get some knowledge of food ?,1000,38
What food can I use to catch a possum ?,Can I get some knowledge of food ?,1129,38
What beer advertised that it had `` three rings '' ?,Can I get some knowledge of food ?,2530,38
"What drink is made up of rum , coconut milk and pineapple ?",Can I get some knowledge of food ?,2132,38
What is `` the soft drink for adults '' ?,Can I get some knowledge of food ?,2405,38
What ice creams contain seaweed ?,Can I get some knowledge of food ?,393,38
Which mayonnaise refers to itself as `` real '' mayonnaise ?,Can I get some knowledge of food ?,89,38
"What cereal goes `` snap , crackle , pop '' ?",Can I get some knowledge of food ?,617,38
What are all the different types of pizza ?,Can I get some knowledge of food ?,2128,38
What 's the favorite food of dragonflies ?,Can I get some knowledge of food ?,743,38
What 's the main vegetable in vichyssoise ?,Can I get some knowledge of food ?,2124,38
What are the top vegetable crops in the world ?,Can I get some knowledge of food ?,2490,38
"What drink is formed of tequila , orange juice and galliano ?",Can I get some knowledge of food ?,115,38
"What soft drink first appeared in the Old Corner Drug Store in Waco , Texas , in 1885 ?",Can I get some knowledge of food ?,76,38
What drink is the best thirst-quencher ?,Can I get some knowledge of food ?,330,38
What is Nero Wolfe 's favorite drink during office hours ?,Can I get some knowledge of food ?,1839,38
What soft drink is most heavily caffeinated ?,Can I get some knowledge of food ?,744,38
What did the pyramid-builders of Egypt mainly eat ?,Can I get some knowledge of food ?,1724,38
What is the most radioactive food ?,Can I get some knowledge of food ?,901,38
What meat complemented sweet potatoes and peas in the first TV dinner ?,Can I get some knowledge of food ?,439,38
What future movie treat was introduced to American colonists in 1603 by Native Americans ?,Can I get some knowledge of food ?,879,38
What powdered soft drink mix went into space ?,Can I get some knowledge of food ?,467,38
What is the recipe for Eggs Benedict ?,Can I get some knowledge of food ?,2440,38
"What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?",Can I get some knowledge of food ?,2013,38
Which breakfast cereal brought you `` the best each morning '' ?,Can I get some knowledge of food ?,1338,38
What food did Marco Polo introduce into Italy from the court of Kubla Khan ?,Can I get some knowledge of food ?,2700,38
Name the soft drink that is `` number one in the sun . '',Can I get some knowledge of food ?,1107,38
What was the first Lifesaver flavor ?,Can I get some knowledge of food ?,53,38
What snack food has ridges ?,Can I get some knowledge of food ?,190,38
What nutrients are for healthy bones and teeth ?,Can I get some knowledge of food ?,2421,38
What chocolate bar created by Frank Mars and his wife is often called a Milky Way with peanuts ?,Can I get some knowledge of food ?,580,38
What spice do chefs pay the most for ?,Can I get some knowledge of food ?,2595,38
What do river otters eat ?,Can I get some knowledge of food ?,1954,38
What soft drink held a national flavor poll in 1967 ?,Can I get some knowledge of food ?,380,38
What do ladybugs eat ?,Can I get some knowledge of food ?,1549,38
What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,Can you describe this produce ?,96,36
What operating system do IBM-compatible machines use ?,Can you describe this produce ?,2420,36
What are different products of petroleum ?,Can you describe this produce ?,1965,36
What was the name of the computer in ` 2001 : A Space Odyssey ' ?,Can you describe this produce ?,727,36
What is the most advanced handheld calculator in the world ?,Can you describe this produce ?,1921,36
Which two products use a tiger as their symbol ?,Can you describe this produce ?,412,36
What kind of suit did true hepcats wear in 1942 ?,Can you describe this produce ?,1863,36
What product features a frog that says `` dig 'em '' ?,Can you describe this produce ?,2557,36
"What garment was named for Bradley , Voorhees and Day ?",Can you describe this produce ?,1453,36
"What product `` doubles your pleasure , doubles your fun '' ?",Can you describe this produce ?,1359,36
What is the best brand for a laptop computer ?,Can you describe this produce ?,2523,36
What first-aid product `` Helps the hurt stop hurting '' ?,Can you describe this produce ?,2025,36
"What product is for kids , and not for silly rabbits ?",Can you describe this produce ?,1394,36
What computer operating system is on the most computers ?,Can you describe this produce ?,1864,36
What product did William Horlick discover and produce ?,Can you describe this produce ?,1741,36
What product on the market is good for hiding facial scars ?,Can you describe this produce ?,837,36
What is the best selling computer model ever ?,Can you describe this produce ?,2043,36
Name a product that controls the ripening of apples .,Can you describe this produce ?,1069,36
What household products are there for adult acne ?,Can you describe this produce ?,407,36
What soap was touted as being `` for people who like people '' ?,Can you describe this produce ?,169,36
"What product 's ads claim that it `` eliminates odors , kills household germs , mold , and mildew '' ?",Can you describe this produce ?,1500,36
What kind of car did Janis Joplin ask the Lord to buy her ?,Can you describe this produce ?,210,36
Which two products use a tiger as their symbol ?,Can you describe this produce ?,412,36
"Which hair care product told us `` hate that gray , wash it away '' ?",Can you describe this produce ?,1551,36
"What shampoo prevents eczema , seborrhea , and psoriasis ?",Can you describe this produce ?,2337,36
What does the Peugeot company manufacture ?,Can you describe this produce ?,2135,36
Which operating system runs on IBM-compatible machines ?,Can you describe this produce ?,1231,36
What was `` America 's recessed-filter cigarette '' ?,Can you describe this produce ?,953,36
What car was driven in the 199 release of `` Smokey and the Bandit '' ?,Can you describe this produce ?,1154,36
What is the brand name of the chemical daminozide ?,Can you describe this produce ?,832,36
What kind of hat does Bat Masterson wear ?,Can you describe this produce ?,1433,36
What is the brand name of daminozide ?,Can you describe this produce ?,831,36
What is the fastest computer ?,Can you describe this produce ?,2287,36
Italy is the largest producer of what ?,Can you describe this produce ?,2076,36
What is the most expensive car in the world ?,Can you describe this produce ?,2199,36
Name the disposable razor that `` costs about 19 cents . '',Can you describe this produce ?,29,36
"Name the product that is `` at your grocer 's , at your fingertips . ''",Can you describe this produce ?,324,36
What brand of white rum is still made in Cuba ?,Can you describe this produce ?,1546,36
What is the brand name of a chemical used to control ripening ?,Can you describe this produce ?,1320,36
What product does `` Mrs. Olsen '' promote ?,Can you describe this produce ?,2180,36
What product did Robert Conrad dare people to knock off his shoulder ?,Can you describe this produce ?,456,36
What toy can you make sleep ?,Can you describe this produce ?,870,36
What 's the fifth-largest country in the world ?,Can you provide some information about the country ?,726,16
What two countries contain Sierra Nevada mountains ?,Can you provide some information about the country ?,650,16
"What is the most important nation in the world , historically ?",Can you provide some information about the country ?,2114,16
"What country has the most time zones , with 11 ?",Can you provide some information about the country ?,1321,16
What 's the only East european country not tied to the ruble ?,Can you provide some information about the country ?,1303,16
What are the three most populated countries in the world ?,Can you provide some information about the country ?,138,16
What country boasts the most dams ?,Can you provide some information about the country ?,1420,16
What nationality is Pope John Paul II ?,Can you provide some information about the country ?,2242,16
What two countries is Andorra nestled between ?,Can you provide some information about the country ?,1160,16
What country has the most coastline ?,Can you provide some information about the country ?,17,16
What are the Benelux countries ?,Can you provide some information about the country ?,1494,16
What country boasts Ismail 's Palace and the Palace of King Farouk ?,Can you provide some information about the country ?,2637,16
What countries have the highest ratio of university students ?,Can you provide some information about the country ?,1147,16
In what country is Lund ?,Can you provide some information about the country ?,2393,16
What two countries are linked by the Brenner Pass ?,Can you provide some information about the country ?,1109,16
What two countries are separated by the Bering Strait ?,Can you provide some information about the country ?,2511,16
What country 's flag is field green ?,Can you provide some information about the country ?,1859,16
"What country , after Canada and Mexico , is closest to the U.S. ?",Can you provide some information about the country ?,1809,16
Jackson Pollock is of what nationality ?,Can you provide some information about the country ?,1806,16
What country is home to Heineken beer ?,Can you provide some information about the country ?,1138,16
What nationality is Ileana Cotrubas ?,Can you provide some information about the country ?,730,16
What country did the Nile River originate in ?,Can you provide some information about the country ?,1173,16
What country and western singer is known as The Silver Fox ?,Can you provide some information about the country ?,2236,16
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",Can you provide some information about the country ?,2540,16
What two European countries are joined by the Gran San Bernardo Pass ?,Can you provide some information about the country ?,952,16
What country imposed the Berlin Blockade in 1948 ?,Can you provide some information about the country ?,457,16
What two Caribbean countries share the island of Hispaniola ?,Can you provide some information about the country ?,1383,16
"What Scandinavian country covers 173 , 732 square miles ?",Can you provide some information about the country ?,1019,16
What country will hit the year 2 first ?,Can you provide some information about the country ?,1819,16
Which country did Hitler rule ?,Can you provide some information about the country ?,55,16
What nationality is a Sicilian ?,Can you provide some information about the country ?,637,16
What bordering country is due north of Costa Rica ?,Can you provide some information about the country ?,1837,16
What country 's northernmost city is Darwin ?,Can you provide some information about the country ?,2678,16
What country do the Galapagos Islands belong to ?,Can you provide some information about the country ?,2463,16
What African country was founded by freed American slaves in 1847 ?,Can you provide some information about the country ?,0,16
What nationality is Gorbachev ?,Can you provide some information about the country ?,1688,16
What two European countries entered the War of American Independence against the British ?,Can you provide some information about the country ?,982,16
What country did King Gustav V reign over from 197 to 195 ?,Can you provide some information about the country ?,113,16
What nation boarders Mozambique ?,Can you provide some information about the country ?,2708,16
What country 's royal house is Bourbon-Parma ?,Can you provide some information about the country ?,1421,16
What country saw the origin of the Asian Flu ?,Can you provide some information about the country ?,1393,16
What country is the worlds leading supplier of cannabis ?,Can you provide some information about the country ?,2487,16
What country comes last in an alphabetical list ?,Can you provide some information about the country ?,1198,16
What country is the setting for Edgar Allan Poe 's The Pit and the Pendulum ?,Can you provide some information about the country ?,1262,16
Jackson Pollock was a native of what country ?,Can you provide some information about the country ?,2578,16
What three European countries begin with the letter A ?,Can you provide some information about the country ?,494,16
What country has the port of Haifa ?,Can you provide some information about the country ?,565,16
What Asian country once thrilled to the sport of cricket fighting ?,Can you provide some information about the country ?,2174,16
What countries have the largest armed forces in the world ?,Can you provide some information about the country ?,1017,16
Name the largest country in South America .,Can you provide some information about the country ?,1466,16
What country was Erich Honecker the leader of ?,Can you provide some information about the country ?,1517,16
What country is Mount Everest in ?,Can you provide some information about the country ?,1651,16
What was the only country in the Western Hemisphere to join the Russian-led boycott of the 1984 Summer Olympics ?,Can you provide some information about the country ?,354,16
What country has declared one-fifth of its territory off-limits to Russians ?,Can you provide some information about the country ?,2469,16
What country in 1998 had the most suicides regardless of population size ?,Can you provide some information about the country ?,2170,16
What country owns Corsica ?,Can you provide some information about the country ?,1609,16
What European country abandoned postage stamps in 1923 because printing them cost more than their face value ?,Can you provide some information about the country ?,1513,16
What country offered Albert Einstein its presidency in 1952 ?,Can you provide some information about the country ?,1277,16
"What country boasts Cawdor Castle , Glamis Castle , and Blair Castle ?",Can you provide some information about the country ?,1310,16
What two countries in South America are landlocked ?,Can you provide some information about the country ?,1454,16
Where is the human skin least sensitive ?,Can you tell me some knowledge of body parts ?,1324,5
Which ear can most people hear better with ?,Can you tell me some knowledge of body parts ?,886,5
What carries sperm up into the pelvic region ?,Can you tell me some knowledge of body parts ?,2445,5
What 's the colored part of the eye called ?,Can you tell me some knowledge of body parts ?,2064,5
What part of your body contains the corpus callosum ?,Can you tell me some knowledge of body parts ?,946,5
What are the names of the different toes ?,Can you tell me some knowledge of body parts ?,219,5
Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?,Can you tell me some knowledge of body parts ?,2603,5
Where does your hair grow the fastest ?,Can you tell me some knowledge of body parts ?,1754,5
What two body parts grow all your life ?,Can you tell me some knowledge of body parts ?,712,5
What is the only gland in humans that can regenerate itself ?,Can you tell me some knowledge of body parts ?,440,5
What are the main blood vessels ?,Can you tell me some knowledge of body parts ?,676,5
The corpus callosum is in what part of the body ?,Can you tell me some knowledge of body parts ?,2545,5
What organ contains the islands of Langerhans ?,Can you tell me some knowledge of body parts ?,751,5
What is the softest part of the body ?,Can you tell me some knowledge of body parts ?,152,5
What is the weakest bone in the body ?,Can you tell me some knowledge of body parts ?,296,5
What dangles over the tongue from the palate ?,Can you tell me some knowledge of body parts ?,659,5
What are two plants that clothes are made from ?,Can you tell me some knowledge of plant ?,1458,6
What flower did Vincent Van Gogh paint ?,Can you tell me some knowledge of plant ?,575,6
What are some colorful flowers that will bloom in the fall in New England ?,Can you tell me some knowledge of plant ?,336,6
What is the most widely cultivated plant ?,Can you tell me some knowledge of plant ?,1857,6
What plants are found in an estuary ?,Can you tell me some knowledge of plant ?,1415,6
