0,1,idQ,idA
My debit card got stolen,How do I report the loss of an ATM card,1458,321
i have lost my ATM card,How do I report the loss of an ATM card,1150,321
What should I do if I will not find my ATM card?,How do I report the loss of an ATM card,1770,321
I can't find the ATM card anywhere,How do I report the loss of an ATM card,312,321
Can you help me apply for a new debit card as I lost my wallet last night.,How do I report the loss of an ATM card,2949,321
ATM card was stolen and needs to be reissued,How do I report the loss of an ATM card,4038,321
actully my atm card is lost so  i want apply new one,How do I report the loss of an ATM card,3278,321
ATM card lost how to apply new one,How do I report the loss of an ATM card,680,321
hi  I lost my atm card so how can I report,How do I report the loss of an ATM card,4090,321
"Hi, I'm overseas and can't seem to find my ATM card.",How do I report the loss of an ATM card,4171,321
Hi I forgot to take my ATM card from the machine last Saturday.,How do I report the loss of an ATM card,1327,321
I lost my debit card may I have a replacement please,How do I report the loss of an ATM card,3808,321
I just lost my premier hk debit card an hour ago.,How do I report the loss of an ATM card,491,321
How do I contact an agent to report loss of my card,How do I report the loss of an HSBC card,78,121
"Hi, I lost my wallet with all my card.",How do I report the loss of an HSBC card,4006,121
I have lost my personal account card.,How do I report the loss of an HSBC card,963,121
i was i business trip and i lost my card.,How do I report the loss of an HSBC card,1836,121
I lost my bank card and need a replacement.,How do I report the loss of an HSBC card,1654,121
"Hi, I lost my credit cards",How do I report the loss of an HSBC card,2454,121
"Hi, Can I know if I lose my credit card and ATM card overseas, how can I report this loss?",How do I report the loss of an HSBC card,3344,121
can i report card loss via my online banking?,How do I report the loss of an HSBC card,1939,121
I was reporting lost cards from London UK.,How do I report the loss of an HSBC card,1380,121
"Hi, can i report a lost card",How do I report the loss of an HSBC card,2963,121
Banking card stolen,How do I report the loss of an HSBC card,1070,121
"My wallet has been lost, I am travelling & I need to urgently cancel my cards.",How do I report the loss of an HSBC card,337,121
I need to report a lost card.,How do I report the loss of an HSBC card,2062,121
I want to know more about how to  set  atm  withdraw  limit works,How do I set my ATM withdrawal limit,423,278
I want to know more about how to make create  atm  withdraw  limit works,How do I set my ATM withdrawal limit,3127,278
May I know how to increase the ATM daily withdrawal limit on the Internet Banking?,How do I set my ATM withdrawal limit,1446,278
How can I change my atm withdrawal limit?,How do I set my ATM withdrawal limit,971,278
"Hello, I'd like to change ATM withdrawal limit for my account.",How do I set my ATM withdrawal limit,2236,278
Adjust atm withdrawal limit,How do I set my ATM withdrawal limit,2029,278
"Hi, I want to change daily cash withdrawl limit for my ATM cards.",How do I set my ATM withdrawal limit,537,278
"Hi, How do I update my ATM daily withdrawal limit?",How do I set my ATM withdrawal limit,3761,278
How do I adjust the atm withdrawal limit?,How do I set my ATM withdrawal limit,1896,278
Where can I adjust my ATM withdrawal limit?,How do I set my ATM withdrawal limit,1195,278
Can I updated my ATM withdrawal limit online?,How do I set my ATM withdrawal limit,961,278
"the max daily withdrwal limit is HKD40,000, right?",What is the cash withdrawal limit using an ATM card / debit card,1060,36
Could you tell me overseas ATM withdrawal limit is depending on how much I deposit in HK dollar currency?,What is the cash withdrawal limit using an ATM card / debit card,2081,36
The overseas atm withdrawal limit,What is the cash withdrawal limit using an ATM card / debit card,66,36
wanted to verify my Overseas ATM withdrawal limit ,What is the cash withdrawal limit using an ATM card / debit card,3655,36
Hi how can I find out my current debit card's overseas withdrawal limit?,What is the cash withdrawal limit using an ATM card / debit card,2905,36
Is there any limit to withdraw cash in my USD account in HK?,What is the cash withdrawal limit using an ATM card / debit card,1277,36
which means 50% of the daily withdrawal limited?,What is the cash withdrawal limit using an ATM card / debit card,3345,36
ATM Limit for the ATM and Credit card,What is the cash withdrawal limit using an ATM card / debit card,2685,36
may i know the limit for JPY withdrawal from foreign currency ATM ?,What is the cash withdrawal limit using an ATM card / debit card,4307,36
What is the cash withdraw limit from ATM machine daily?,What is the cash withdrawal limit using an ATM card / debit card,2131,36
how to check ATM withdrawal limit ,What is the cash withdrawal limit using an ATM card / debit card,726,36
Also is there a limit to ATM withdrawals?,What is the cash withdrawal limit using an ATM card / debit card,247,36
"For this HKD40 fee on non HSBC ATM, is there a limit of withdrawal amount?",What is the cash withdrawal limit using an ATM card / debit card,2750,36
can I also update the overseas ATM limit?,How do I set my overseas ATM withdrawal limit,2325,25
She didn't activate her overseas withdrawal limit also,How do I set my overseas ATM withdrawal limit,599,25
I am trying to set up an overseas ATM withdrawal limit.,How do I set my overseas ATM withdrawal limit,441,25
I am trying to withdraw cash from ATM but does not work because limit for overseas withdrawal is set to 0,How do I set my overseas ATM withdrawal limit,4362,25
"Hello, i'd like to increase my daily overseas withdrawal",How do I set my overseas ATM withdrawal limit,1324,25
Will try to set my overseas withdrawal limit.,How do I set my overseas ATM withdrawal limit,1711,25
"Hi, I'm abroad in India and set a withdrawal limit for overseas ATM withdrawals beforehand.",How do I set my overseas ATM withdrawal limit,2398,25
how do i update my oversea ATM withdrawal limit if i do not have security device,How do I set my overseas ATM withdrawal limit,4029,25
I need to set the limit for ATM withdrawal overseas,How do I set my overseas ATM withdrawal limit,2452,25
"Hi, I have been trying to use ATM in Japan but it does not work. The print out shows ""Entered amount exceeds limit"". Can you check what I need to do to withdraw money in Japan from my account?",How do I set my overseas ATM withdrawal limit,396,25
how about can I withdraw here in uk in cash machine ?,How do I set my overseas ATM withdrawal limit,1366,25
"Hi, I would like to be able to withdraw money from oversea by using my advance card",How do I set my overseas ATM withdrawal limit,1975,25
I would like to withdraw cash from ATMs of my HK HSBC a/c in oversea.,How do I set my overseas ATM withdrawal limit,1592,25
like when I would receive the new card?,When will you send out the card,1275,20
how long would it take for the cards to arrive?,When will you send out the card,2246,20
My question is when is my new card coming.,When will you send out the card,4250,20
please can you check what's the status and when will i receive the card?,When will you send out the card,3966,20
how long it take toi send me a new card in France,When will you send out the card,2322,20
When will I get the new card?,When will you send out the card,2224,20
can you tell me by when i can expect the card,When will you send out the card,496,20
How long does it take to get the new card?,When will you send out the card,926,20
I have not received a replacement card yet.,When will you send out the card,2008,20
But I still not received the card,When will you send out the card,3805,20
by so far haven't receive my card,When will you send out the card,475,20
have you send out the new card to me?,When will you send out the card,2650,20
until now I cant use my card pls help me,Why can't I use my HSBC card,4306,192
I cannot withdraw money using my ATM card,Why can't I use my HSBC card,3066,192
I tried to withdraw some cash today - but is was denied,Why can't I use my HSBC card,4169,192
Card seems invalid,Why can't I use my HSBC card,2279,192
"The message shows ""INVALID CARD"" on the ATM machine.",Why can't I use my HSBC card,1586,192
"I have ""Invalid Card"" message on ATM.  Could you make it valid asap?",Why can't I use my HSBC card,2630,192
ATM is not accepting my card,Why can't I use my HSBC card,2022,192
"Hey, so today my ATM card got rejected by several machines even when my account has more than enough balance.",Why can't I use my HSBC card,2929,192
have a problem with atm money withdraw,Why can't I use my HSBC card,1252,192
I only insert my card and the atm says technical problem,Why can't I use my HSBC card,4024,192
My ATM card has rejected my withdrawal and transfer,Why can't I use my HSBC card,2412,192
i try to use my card on the atm but they reject me saying cannot be process,Why can't I use my HSBC card,4193,192
"Hi , my card is not working - each ATM tells me to contact my issuing bank.",Why can't I use my HSBC card,460,192
i try to withdraw some cash on atm bangkok doesn t work,Why can't I use my HSBC card at an overseas ATM,3702,170
I am currently in the Netherlands and my visa credit card is not working to draw money at an ATM.,Why can't I use my HSBC card at an overseas ATM,3565,170
I live in Taiwan right now and went to an HSBC ATM but coudln't withdraw money.,Why can't I use my HSBC card at an overseas ATM,3461,170
my ATM card can not take money is USA it said it is invalid what's the proble.,Why can't I use my HSBC card at an overseas ATM,947,170
Im currently in Vietnam and my card was disabled after withdrawing some cash from a HSBC atm.,Why can't I use my HSBC card at an overseas ATM,3685,170
I am in Australia now and the ATM said not available for use now,Why can't I use my HSBC card at an overseas ATM,0,170
I currently live in Japan and I tried to withdraw money from ATM but I couldn't.,Why can't I use my HSBC card at an overseas ATM,355,170
I have ATM card which is not working in Bangladesh,Why can't I use my HSBC card at an overseas ATM,2107,170
"And now i came to taiwan for travel, but i can't use this card in atm... could u help to check what is problem?",Why can't I use my HSBC card at an overseas ATM,3729,170
I tried to make a withdrawal today from an ATM in the UK and the transaction failed.,Why can't I use my HSBC card at an overseas ATM,3307,170
i cannot use my premier credit card in ATM abroad,Why can't I use my HSBC card at an overseas ATM,29,170
"hello, may i know why i cannot use my card to withdraw overseas?",Why can't I use my HSBC card at an overseas ATM,3452,170
"I tried to withdraw cash at ATM in Japan from 1 month ago, but an error will always be displayed",Why can't I use my HSBC card at an overseas ATM,892,170
I would like to apply for a new ATM card and cancel the old one.,How do I replace an ATM card,2489,43
my atm card is not valid,How do I replace an ATM card,3090,43
"Hello, I would like to replace my ATM card, the magnetic band of my current card is faulty",How do I replace an ATM card,2953,43
so may I replace my ATM card via this online live chat channel ?,How do I replace an ATM card,2544,43
So it is possible for you to send me another atm bank card to my address ?,How do I replace an ATM card,2040,43
"hihi, may I know how can I get an replacement ATM card?",How do I replace an ATM card,1203,43
i want to replace my advance bank card,How do I replace an ATM card,2446,43
"I wanted to renew one card of mine, which has only EPS and pointing to just one of my saving account",How do I replace an ATM card,1547,43
"my atm card is not working, can i request a new one through online banking?",How do I replace an ATM card,4338,43
"Hi, I need to request a new ATM card, mine is not always working.",How do I replace an ATM card,1425,43
Could you re-issue the atm card?,How do I replace an ATM card,4279,43
"my atm card is not working, can i request a new one through online banking?",How do I replace an ATM card,4338,43
I was wondering where I can request a replacement ATM card,How do I replace an ATM card,2903,43
"my atm card is damaged, how to get a new one?",How can I replace an ATM card by mail,1185,186
My ATM card broken and want to get a new one.,How can I replace an ATM card by mail,2196,186
"I am living abroad, and my ATM PLUS card is damaged",How can I replace an ATM card by mail,4140,186
"I have a damaged ATM card, is there anything I can do via internet banking to request a replacement?",How can I replace an ATM card by mail,3589,186
Hi can you please send me the link to the form to request a new debit card as ive just broken mine,How can I replace an ATM card by mail,2011,186
my ATM card is broken and i have fill in the ATM Card Service Amendment Form.,How can I replace an ATM card by mail,546,186
"Hi , my premier atm card doe snot work anymore and I think electronic strip is worn out.",How can I replace an ATM card by mail,1987,186
"hi, can you tell me where to submit the ATM Card Services Amendment Form?",How can I replace an ATM card by mail,2432,186
"my chip on atm card not working, need to replace a new one",How can I replace an ATM card by mail,3562,186
How can I replace a broken ATM card?,How can I replace an ATM card by mail,2126,186
How do i replace a damaged debit card via online banking?,How can I replace an ATM card by mail,64,186
"Hi, i can't find the ATM replacement card form",How can I replace an ATM card by mail,3559,186
Can you please send me a form to replace my Debit card,How can I replace an ATM card by mail,835,186
"Hi There, How can I change my bank card PIN",How do I change my ATM or credit card PIN,1902,236
Hello I would like to change my ATM PIN.,How do I change my ATM or credit card PIN,3103,236
how to change ATM card PIN,How do I change my ATM or credit card PIN,1135,236
Do i need to go to ATM and change pin,How do I change my ATM or credit card PIN,421,236
how do I change my PIN number for ATM,How do I change my ATM or credit card PIN,1085,236
can I make a change to the password for that ATM card,How do I change my ATM or credit card PIN,1549,236
"How can I change the password for these cards, At an ATM?",How do I change my ATM or credit card PIN,102,236
"Hi There, How can I change my bank card PIN?",How do I change my ATM or credit card PIN,35,236
and I can change the pin on any HSBC ATM right?,How do I change my ATM or credit card PIN,4263,236
And can I also change my password at the ATM machine?,How do I change my ATM or credit card PIN,1752,236
and for ATM pin I can change it in a ATM abroad?,How do I change my ATM or credit card PIN,3925,236
I can change my atm pin in a HKG atm ?,How do I change my ATM or credit card PIN,4080,236
"i have the ATM pin now, can i use the ATM to change the PIN now?",How do I change my ATM or credit card PIN,288,236
How to get the pin of my credit card?,How do I get a new ATM or credit card PIN,3468,118
Hi my credit card is locked after inputting wrong pin code for 3 times,How do I get a new ATM or credit card PIN,4094,118
"Activated my credit card, but how do I know my PIN code for ATM facility",How do I get a new ATM or credit card PIN,1517,118
I forgot visa card pin number,How do I get a new ATM or credit card PIN,3566,118
"Hello, Can you help me to place proper request for new PIN for my credit card",How do I get a new ATM or credit card PIN,2255,118
"I'm currently in Germany and I tried to withdraw money from my HSBC account using my PLUS card, but I could not remember the password.",How do I get a new ATM or credit card PIN,2631,118
"However the system asks me for credit card PIN number, which I have not set up yet",How do I get a new ATM or credit card PIN,2461,118
I don't remember my ATM pin code for my HSBC visa platinum.,How do I get a new ATM or credit card PIN,3571,118
Hey where do I get to know my credit card pin number,How do I get a new ATM or credit card PIN,2928,118
where can i find the credit card ATM pin?,How do I get a new ATM or credit card PIN,2677,118
not aware of PIN for credit card.,How do I get a new ATM or credit card PIN,3485,118
How do I request the credit card PIN to register for Personal Internet Banking,How do I get a new ATM or credit card PIN,1177,118
"i don't have credit card ATM Pin, how do I set up my on-line access?",How do I get a new ATM or credit card PIN,2975,118
"I received a new credit card and in the PIN letter it says I can change the PIN on internet, but cannot find where ?",How do I request a new ATM or credit card PIN in Personal Internet Banking,3869,64
How I can make request of change my passcode for  Advance ATM card through ebanking?,How do I request a new ATM or credit card PIN in Personal Internet Banking,1893,64
How does credit card password apply for in the bank on the net,How do I request a new ATM or credit card PIN in Personal Internet Banking,3392,64
"How can I change ATM PIN, on line, for one of my credit card.",How do I request a new ATM or credit card PIN in Personal Internet Banking,1824,64
can I change my credit card ATM pin through HSBC website,How do I request a new ATM or credit card PIN in Personal Internet Banking,2838,64
can I order a new PIN for my HSBC card online?,How do I request a new ATM or credit card PIN in Personal Internet Banking,1688,64
"i saw ""Request ATM/credit card PIN"" under My Banking",How do I request a new ATM or credit card PIN in Personal Internet Banking,814,64
"hi, i would like to know whether i can change my pin for bank account(atm), and for my credit card online?",How do I request a new ATM or credit card PIN in Personal Internet Banking,290,64
"in the verify identify step, it asks for a credit card ATM Pin",How do I request a new ATM or credit card PIN in Personal Internet Banking,3017,64
hi can i change my atm pin online?,How do I request a new ATM or credit card PIN in Personal Internet Banking,591,64
can i change atm pin via online banking,How do I request a new ATM or credit card PIN in Personal Internet Banking,4256,64
I had requested an ATM/credit card PIN online jusst now.,How do I request a new ATM or credit card PIN in Personal Internet Banking,3220,64
My only income is from pension from HK SAR.on which I pay tax. I live in UK but do not required pay tax according to the agreement between the Governments. What is my TIN,What is a Taxpayer Identification Number,2514,29
"I am a foreigner living in China without chinese ID card, so I don't have an official tax ID.",What is a Taxpayer Identification Number,1054,29
TIN MEANS TAX ID NUMBER OR NOT ,What is a Taxpayer Identification Number,2190,29
what is the different identification number（tin number） or passport number ?,What is a Taxpayer Identification Number,2306,29
"I live in USA, how to check my TIN in website?",What is a Taxpayer Identification Number,3935,29
